DataLogin,Regione,Ordine,ACso,Totale,Maschi,Femmine,AluTot,AluMaschi,AluFemmine,AluITA,AluSTRA,TutTot,TutMaschi,TutFemmine,TutITA,TutSTRA
2022-09-01,LAZIO,EE,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-01,LAZIO,EE,4,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-01,LAZIO,EE,5,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-01,LAZIO,MM,2,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-01,LAZIO,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-01,LIGURIA,EE,5,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-01,LIGURIA,MM,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-01,LIGURIA,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-01,LOMBARDIA,SS,2,3,1,2,1,0,1,1,0,2,1,1,2,0
2022-09-01,LOMBARDIA,SS,3,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-01,LOMBARDIA,SS,4,7,1,6,5,1,4,4,1,2,0,2,2,0
2022-09-01,LOMBARDIA,SS,5,11,7,4,7,4,3,7,0,4,3,1,4,0
2022-09-02,CAMPANIA,MM,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-02,CAMPANIA,MM,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-02,CAMPANIA,MM,3,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-02,LAZIO,MM,1,1,0,1,0,0,0,0,0,1,0,1,0,1
2022-09-02,LIGURIA,EE,4,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-02,LIGURIA,EE,5,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-02,LOMBARDIA,SS,3,4,2,2,4,2,2,4,0,0,0,0,0,0
2022-09-02,LOMBARDIA,SS,4,13,4,9,12,4,8,11,1,1,0,1,1,0
2022-09-02,LOMBARDIA,SS,5,14,3,11,12,3,9,12,0,2,0,2,2,0
2022-09-02,TOSCANA,MM,3,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-03,LIGURIA,EE,4,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-03,LIGURIA,EE,5,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-03,LIGURIA,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-03,LOMBARDIA,SS,2,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-03,LOMBARDIA,SS,3,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-03,LOMBARDIA,SS,4,6,1,5,6,1,5,5,1,0,0,0,0,0
2022-09-03,LOMBARDIA,SS,5,14,5,9,12,4,8,12,0,2,1,1,2,0
2022-09-03,TOSCANA,EE,3,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-03,TOSCANA,MM,3,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-04,LAZIO,MM,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-04,LIGURIA,EE,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-04,LIGURIA,EE,5,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-04,LIGURIA,MM,2,1,1,0,1,1,0,0,1,0,0,0,0,0
2022-09-04,LIGURIA,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-04,LOMBARDIA,SS,4,2,0,2,2,0,2,1,1,0,0,0,0,0
2022-09-04,LOMBARDIA,SS,5,4,1,3,4,1,3,4,0,0,0,0,0,0
2022-09-05,CAMPANIA,EE,4,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-05,CAMPANIA,MM,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-05,CAMPANIA,MM,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-05,CAMPANIA,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-05,LAZIO,MM,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-05,LIGURIA,EE,4,2,1,1,0,0,0,0,0,2,1,1,2,0
2022-09-05,LIGURIA,MM,2,3,0,3,1,0,1,1,0,2,0,2,2,0
2022-09-05,LIGURIA,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-05,LOMBARDIA,SS,2,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-05,LOMBARDIA,SS,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-05,LOMBARDIA,SS,4,4,1,3,4,1,3,3,1,0,0,0,0,0
2022-09-05,LOMBARDIA,SS,5,9,4,5,4,2,2,4,0,5,2,3,5,0
2022-09-05,TOSCANA,MM,1,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-06,CAMPANIA,EE,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-06,CAMPANIA,EE,4,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-06,CAMPANIA,EE,5,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-06,CAMPANIA,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-06,LAZIO,EE,4,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-06,LAZIO,MM,1,1,0,1,0,0,0,0,0,1,0,1,0,1
2022-09-06,LIGURIA,EE,4,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-06,LIGURIA,MM,3,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-06,LOMBARDIA,SS,1,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-06,LOMBARDIA,SS,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-06,LOMBARDIA,SS,3,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-06,LOMBARDIA,SS,4,4,0,4,4,0,4,3,1,0,0,0,0,0
2022-09-06,LOMBARDIA,SS,5,5,2,3,2,0,2,2,0,3,2,1,3,0
2022-09-06,PUGLIA,MM,1,2,0,2,2,0,2,2,0,0,0,0,0,0
2022-09-06,TOSCANA,MM,2,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-06,TOSCANA,MM,3,2,1,1,2,1,1,2,0,0,0,0,0,0
2022-09-07,CAMPANIA,AA,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-07,CAMPANIA,EE,2,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-07,CAMPANIA,MM,2,3,0,3,0,0,0,0,0,3,0,3,3,0
2022-09-07,LAZIO,EE,5,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-07,LAZIO,MM,1,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-07,LIGURIA,EE,4,2,1,1,0,0,0,0,0,2,1,1,2,0
2022-09-07,LIGURIA,EE,5,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-07,LIGURIA,MM,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-07,LIGURIA,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-07,LOMBARDIA,SS,3,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-07,LOMBARDIA,SS,4,5,3,2,5,3,2,5,0,0,0,0,0,0
2022-09-07,LOMBARDIA,SS,5,8,4,4,5,2,3,5,0,3,2,1,3,0
2022-09-07,SICILIA,EE,2,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-07,TOSCANA,MM,3,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-08,CALABRIA,EE,5,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-08,CAMPANIA,EE,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-08,CAMPANIA,EE,5,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-08,LAZIO,EE,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-08,LAZIO,EE,4,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-08,LAZIO,MM,1,3,0,3,0,0,0,0,0,3,0,3,2,1
2022-09-08,LAZIO,MM,2,3,0,3,1,0,1,1,0,2,0,2,2,0
2022-09-08,LIGURIA,EE,4,2,1,1,0,0,0,0,0,2,1,1,2,0
2022-09-08,LIGURIA,EE,5,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-08,LIGURIA,MM,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-08,LIGURIA,MM,3,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-08,LOMBARDIA,SS,1,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-08,LOMBARDIA,SS,4,7,5,2,7,5,2,7,0,0,0,0,0,0
2022-09-08,LOMBARDIA,SS,5,10,6,4,7,5,2,7,0,3,1,2,3,0
2022-09-08,TOSCANA,MM,1,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-08,TOSCANA,MM,3,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-09,CAMPANIA,AA,1,2,1,1,0,0,0,0,0,2,1,1,2,0
2022-09-09,CAMPANIA,EE,3,2,1,1,0,0,0,0,0,2,1,1,2,0
2022-09-09,CAMPANIA,EE,5,2,1,1,0,0,0,0,0,2,1,1,2,0
2022-09-09,CAMPANIA,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-09,LAZIO,EE,3,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-09,LAZIO,MM,1,2,1,1,0,0,0,0,0,2,1,1,1,1
2022-09-09,LAZIO,MM,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-09,LAZIO,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-09,LOMBARDIA,SS,1,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-09,LOMBARDIA,SS,3,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-09,LOMBARDIA,SS,4,8,6,2,8,6,2,8,0,0,0,0,0,0
2022-09-09,LOMBARDIA,SS,5,8,4,4,5,3,2,5,0,3,1,2,3,0
2022-09-09,TOSCANA,MM,2,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-09,TOSCANA,MM,3,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-10,CAMPANIA,AA,1,3,1,2,0,0,0,0,0,3,1,2,3,0
2022-09-10,CAMPANIA,EE,3,3,1,2,0,0,0,0,0,3,1,2,3,0
2022-09-10,CAMPANIA,EE,4,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-10,CAMPANIA,EE,5,2,1,1,0,0,0,0,0,2,1,1,2,0
2022-09-10,CAMPANIA,MM,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-10,LAZIO,EE,4,1,1,0,0,0,0,0,0,1,1,0,0,1
2022-09-10,LAZIO,MM,1,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-10,LAZIO,MM,2,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-10,LAZIO,MM,3,3,2,1,0,0,0,0,0,3,2,1,2,1
2022-09-10,LOMBARDIA,SS,3,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-10,LOMBARDIA,SS,4,5,5,0,5,5,0,5,0,0,0,0,0,0
2022-09-10,LOMBARDIA,SS,5,6,4,2,4,2,2,4,0,2,2,0,2,0
2022-09-11,CAMPANIA,MM,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-11,CAMPANIA,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-11,LAZIO,EE,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-11,LAZIO,EE,4,1,1,0,0,0,0,0,0,1,1,0,0,1
2022-09-11,LAZIO,EE,5,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-11,LAZIO,MM,1,2,0,2,0,0,0,0,0,2,0,2,1,1
2022-09-11,LAZIO,MM,3,1,1,0,0,0,0,0,0,1,1,0,0,1
2022-09-11,LIGURIA,MM,3,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-11,LOMBARDIA,SS,4,6,4,2,6,4,2,6,0,0,0,0,0,0
2022-09-11,LOMBARDIA,SS,5,5,4,1,3,3,0,3,0,2,1,1,2,0
2022-09-11,PUGLIA,MM,1,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-12,CAMPANIA,AA,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-12,CAMPANIA,EE,3,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-12,CAMPANIA,EE,5,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-12,CAMPANIA,MM,1,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-12,CAMPANIA,MM,2,2,1,1,0,0,0,0,0,2,1,1,2,0
2022-09-12,CAMPANIA,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-12,LAZIO,EE,1,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-12,LAZIO,EE,3,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-12,LAZIO,MM,1,3,1,2,0,0,0,0,0,3,1,2,2,1
2022-09-12,LAZIO,MM,2,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-12,LAZIO,MM,3,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-12,LIGURIA,EE,5,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-12,LIGURIA,MM,3,3,0,3,0,0,0,0,0,3,0,3,3,0
2022-09-12,LOMBARDIA,SS,1,2,1,1,0,0,0,0,0,2,1,1,2,0
2022-09-12,LOMBARDIA,SS,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-12,LOMBARDIA,SS,4,10,7,3,9,7,2,9,0,1,0,1,1,0
2022-09-12,LOMBARDIA,SS,5,16,5,11,10,3,7,10,0,6,2,4,6,0
2022-09-12,PUGLIA,MM,1,2,0,2,2,0,2,2,0,0,0,0,0,0
2022-09-12,TOSCANA,MM,2,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-13,CAMPANIA,AA,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-13,CAMPANIA,EE,2,1,1,0,0,0,0,0,0,1,1,0,0,1
2022-09-13,CAMPANIA,EE,3,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-13,CAMPANIA,MM,1,5,2,3,0,0,0,0,0,5,2,3,4,1
2022-09-13,CAMPANIA,MM,2,3,1,2,0,0,0,0,0,3,1,2,3,0
2022-09-13,CAMPANIA,MM,3,3,1,2,0,0,0,0,0,3,1,2,3,0
2022-09-13,LAZIO,EE,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-13,LAZIO,EE,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-13,LAZIO,EE,4,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-13,LAZIO,MM,1,2,0,2,1,0,1,1,0,1,0,1,0,1
2022-09-13,LAZIO,MM,2,3,0,3,0,0,0,0,0,3,0,3,3,0
2022-09-13,LAZIO,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-13,LIGURIA,EE,4,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-13,LIGURIA,EE,5,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-13,LIGURIA,MM,2,2,0,2,0,0,0,0,0,2,0,2,0,2
2022-09-13,LIGURIA,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-13,LOMBARDIA,SS,1,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-13,LOMBARDIA,SS,3,2,1,1,2,1,1,2,0,0,0,0,0,0
2022-09-13,LOMBARDIA,SS,4,7,6,1,7,6,1,7,0,0,0,0,0,0
2022-09-13,LOMBARDIA,SS,5,14,6,8,6,3,3,5,1,8,3,5,8,0
2022-09-13,PUGLIA,MM,1,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-14,CAMPANIA,AA,1,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-14,CAMPANIA,EE,3,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-14,CAMPANIA,EE,4,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-14,CAMPANIA,EE,5,4,2,2,0,0,0,0,0,4,2,2,4,0
2022-09-14,CAMPANIA,MM,1,3,0,3,0,0,0,0,0,3,0,3,3,0
2022-09-14,CAMPANIA,MM,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-14,CAMPANIA,MM,3,3,1,2,0,0,0,0,0,3,1,2,3,0
2022-09-14,LAZIO,AA,1,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-14,LAZIO,EE,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-14,LAZIO,EE,2,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-14,LAZIO,EE,3,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-14,LAZIO,EE,4,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-14,LAZIO,MM,1,4,2,2,2,1,1,2,0,2,1,1,1,1
2022-09-14,LAZIO,MM,2,6,0,6,2,0,2,2,0,4,0,4,4,0
2022-09-14,LAZIO,MM,3,3,0,3,0,0,0,0,0,3,0,3,3,0
2022-09-14,LIGURIA,EE,4,2,1,1,0,0,0,0,0,2,1,1,2,0
2022-09-14,LIGURIA,EE,5,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-14,LIGURIA,MM,2,3,0,3,1,0,1,1,0,2,0,2,2,0
2022-09-14,LIGURIA,MM,3,3,0,3,0,0,0,0,0,3,0,3,3,0
2022-09-14,LOMBARDIA,SS,1,2,1,1,0,0,0,0,0,2,1,1,2,0
2022-09-14,LOMBARDIA,SS,2,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-14,LOMBARDIA,SS,3,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-14,LOMBARDIA,SS,4,8,7,1,8,7,1,8,0,0,0,0,0,0
2022-09-14,LOMBARDIA,SS,5,10,4,6,5,4,1,5,0,5,0,5,5,0
2022-09-14,PUGLIA,MM,1,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-14,TOSCANA,MM,1,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-14,TOSCANA,MM,2,2,0,2,2,0,2,2,0,0,0,0,0,0
2022-09-14,TOSCANA,MM,3,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-15,CALABRIA,MM,3,1,1,0,1,1,0,0,1,0,0,0,0,0
2022-09-15,CAMPANIA,AA,1,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-15,CAMPANIA,EE,3,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-15,CAMPANIA,EE,4,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-15,CAMPANIA,EE,5,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-15,CAMPANIA,MM,1,3,1,2,1,1,0,1,0,2,0,2,2,0
2022-09-15,CAMPANIA,MM,2,2,1,1,1,1,0,1,0,1,0,1,1,0
2022-09-15,CAMPANIA,MM,3,2,1,1,0,0,0,0,0,2,1,1,2,0
2022-09-15,LAZIO,EE,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-15,LAZIO,EE,3,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-15,LAZIO,EE,4,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-15,LAZIO,MM,1,3,1,2,1,0,1,1,0,2,1,1,1,1
2022-09-15,LAZIO,MM,2,3,0,3,0,0,0,0,0,3,0,3,3,0
2022-09-15,LAZIO,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-15,LIGURIA,EE,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-15,LIGURIA,EE,4,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-15,LIGURIA,EE,5,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-15,LIGURIA,MM,2,2,0,2,1,0,1,1,0,1,0,1,1,0
2022-09-15,LIGURIA,MM,3,4,0,4,1,0,1,0,1,3,0,3,3,0
2022-09-15,LOMBARDIA,SS,1,2,1,1,0,0,0,0,0,2,1,1,2,0
2022-09-15,LOMBARDIA,SS,2,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-15,LOMBARDIA,SS,3,2,1,1,2,1,1,2,0,0,0,0,0,0
2022-09-15,LOMBARDIA,SS,4,6,4,2,6,4,2,6,0,0,0,0,0,0
2022-09-15,LOMBARDIA,SS,5,9,4,5,6,3,3,6,0,3,1,2,3,0
2022-09-15,PUGLIA,MM,1,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-15,TOSCANA,MM,1,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-15,TOSCANA,MM,2,3,0,3,3,0,3,3,0,0,0,0,0,0
2022-09-15,TOSCANA,MM,3,2,1,1,2,1,1,2,0,0,0,0,0,0
2022-09-16,CAMPANIA,AA,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-16,CAMPANIA,EE,3,3,0,3,0,0,0,0,0,3,0,3,3,0
2022-09-16,CAMPANIA,EE,4,2,1,1,2,1,1,2,0,0,0,0,0,0
2022-09-16,CAMPANIA,EE,5,4,0,4,0,0,0,0,0,4,0,4,4,0
2022-09-16,CAMPANIA,MM,1,4,1,3,0,0,0,0,0,4,1,3,4,0
2022-09-16,CAMPANIA,MM,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-16,LAZIO,EE,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-16,LAZIO,EE,2,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-16,LAZIO,EE,3,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-16,LAZIO,MM,1,3,1,2,0,0,0,0,0,3,1,2,2,1
2022-09-16,LAZIO,MM,2,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-16,LAZIO,MM,3,4,1,3,0,0,0,0,0,4,1,3,4,0
2022-09-16,LIGURIA,EE,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-16,LIGURIA,EE,4,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-16,LIGURIA,EE,5,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-16,LIGURIA,MM,2,2,0,2,1,0,1,1,0,1,0,1,1,0
2022-09-16,LIGURIA,MM,3,3,0,3,1,0,1,0,1,2,0,2,2,0
2022-09-16,LOMBARDIA,SS,1,2,1,1,1,1,0,1,0,1,0,1,1,0
2022-09-16,LOMBARDIA,SS,3,3,1,2,3,1,2,3,0,0,0,0,0,0
2022-09-16,LOMBARDIA,SS,4,8,7,1,8,7,1,8,0,0,0,0,0,0
2022-09-16,LOMBARDIA,SS,5,8,4,4,6,4,2,6,0,2,0,2,2,0
2022-09-16,PUGLIA,MM,1,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-16,PUGLIA,SS,5,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-16,TOSCANA,MM,2,3,0,3,3,0,3,3,0,0,0,0,0,0
2022-09-17,CAMPANIA,EE,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-17,CAMPANIA,EE,3,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-17,CAMPANIA,EE,4,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-17,CAMPANIA,EE,5,2,1,1,0,0,0,0,0,2,1,1,2,0
2022-09-17,CAMPANIA,MM,1,3,1,2,0,0,0,0,0,3,1,2,3,0
2022-09-17,CAMPANIA,MM,2,3,1,2,1,1,0,1,0,2,0,2,2,0
2022-09-17,CAMPANIA,MM,3,4,1,3,0,0,0,0,0,4,1,3,4,0
2022-09-17,LAZIO,EE,3,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-17,LAZIO,MM,1,2,1,1,0,0,0,0,0,2,1,1,1,1
2022-09-17,LAZIO,MM,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-17,LIGURIA,EE,5,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-17,LIGURIA,MM,2,2,0,2,1,0,1,1,0,1,0,1,1,0
2022-09-17,LIGURIA,MM,3,2,1,1,1,1,0,1,0,1,0,1,1,0
2022-09-17,LOMBARDIA,SS,1,3,2,1,1,1,0,1,0,2,1,1,2,0
2022-09-17,LOMBARDIA,SS,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-17,LOMBARDIA,SS,4,8,7,1,8,7,1,8,0,0,0,0,0,0
2022-09-17,LOMBARDIA,SS,5,11,7,4,8,5,3,8,0,3,2,1,3,0
2022-09-18,CAMPANIA,AA,1,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-18,CAMPANIA,EE,3,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-18,CAMPANIA,EE,5,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-18,CAMPANIA,MM,1,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-18,CAMPANIA,MM,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-18,CAMPANIA,MM,3,4,1,3,0,0,0,0,0,4,1,3,4,0
2022-09-18,LAZIO,AA,1,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-18,LAZIO,EE,1,1,1,0,1,1,0,1,0,0,0,0,0,0
2022-09-18,LAZIO,EE,2,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-18,LAZIO,EE,4,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-18,LAZIO,MM,2,3,0,3,0,0,0,0,0,3,0,3,3,0
2022-09-18,LIGURIA,EE,2,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-18,LIGURIA,EE,4,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-18,LIGURIA,MM,2,2,0,2,1,0,1,1,0,1,0,1,0,1
2022-09-18,LIGURIA,MM,3,2,1,1,1,1,0,1,0,1,0,1,1,0
2022-09-18,LOMBARDIA,SS,1,1,1,0,0,0,0,0,0,1,1,0,1,0
2022-09-18,LOMBARDIA,SS,2,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-18,LOMBARDIA,SS,3,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-18,LOMBARDIA,SS,4,6,2,4,6,2,4,5,1,0,0,0,0,0
2022-09-18,LOMBARDIA,SS,5,7,5,2,7,5,2,7,0,0,0,0,0,0
2022-09-18,TOSCANA,MM,2,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-19,CALABRIA,EE,3,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-19,CAMPANIA,EE,2,2,2,0,0,0,0,0,0,2,2,0,1,1
2022-09-19,CAMPANIA,EE,3,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-19,CAMPANIA,EE,4,2,1,1,2,1,1,2,0,0,0,0,0,0
2022-09-19,CAMPANIA,EE,5,4,1,3,0,0,0,0,0,4,1,3,4,0
2022-09-19,CAMPANIA,MM,1,5,3,2,1,1,0,1,0,4,2,2,3,1
2022-09-19,CAMPANIA,MM,2,2,1,1,1,1,0,1,0,1,0,1,1,0
2022-09-19,CAMPANIA,MM,3,3,1,2,0,0,0,0,0,3,1,2,3,0
2022-09-19,CAMPANIA,SS,5,2,2,0,2,2,0,2,0,0,0,0,0,0
2022-09-19,LAZIO,EE,1,2,0,2,0,0,0,0,0,2,0,2,2,0
2022-09-19,LAZIO,EE,2,1,0,1,1,0,1,1,0,0,0,0,0,0
2022-09-19,LAZIO,EE,4,1,0,1,0,0,0,0,0,1,0,1,1,0
2022-09-19,LAZIO,EE,5,1,1,0,0,0,0,0,0,1,1,0,1,0
